stack-name,category-name,group-name,title,description,img-src,url
Business Tools,"Support, Sales, and Marketing",CMS Tools,HTML to Wordpress,Cloud-based tool that converts your current HTML based website into a Wordpress theme,https://img.stackshare.io/service/4081/Tla1Uq2w.png,https://stackshare.io/htmltowordpress
Business Tools,"Support, Sales, and Marketing",CMS Tools,Tailor,Free and open source page builder for WordPress,https://img.stackshare.io/service/5421/R0MClbgb.jpg,https://stackshare.io/tailor
Business Tools,"Support, Sales, and Marketing",CMS Tools,EmbedBox,Open-Source UI to Get Your Embed Code Installed,https://img.stackshare.io/service/5705/af8JMuW7.jpg,https://stackshare.io/embedbox
Business Tools,"Support, Sales, and Marketing",CMS Tools,WordMove,Capistrano for Wordpress. Automatically mirror local Wordpress installations and DB data,https://img.stackshare.io/service/3293/no-img-open-source.png,https://stackshare.io/wordmove
