stack-name,category-name,group-name,title,description,icon-url,url
Application and Data,Utilities,Assets and Media,Fastly,We're redefining content delivery.,https://img.stackshare.io/service/274/9V2sLNfw.png,https://stackshare.io/fastly
Application and Data,Data Stores,Databases,Pouchdb,Open-source JavaScript database inspired by Apache CouchDB that's designed to run well within the browser,https://img.stackshare.io/service/4114/_Bx4twqB.png,https://stackshare.io/pouchdb
Application and Data,Data Stores,Databases,IBM DB2,A family of database server products developed by IBM,https://img.stackshare.io/service/1029/ww-R8m6T.png,https://stackshare.io/db2
Application and Data,Data Stores,Database Tools,Airpal,"Web UI for PrestoDB, by Airbnb",https://img.stackshare.io/service/2607/airpal2.png,https://stackshare.io/airpal
Application and Data,Data Stores,Database Tools,SQLdep,Transform your SQL code into data flow maps,https://img.stackshare.io/service/4349/fl95lpxB.png,https://stackshare.io/sqldep
Application and Data,Utilities,Assets and Media,KeyCDN,A CDN crafted with ease and simplicity in mind - speed up your website.,https://img.stackshare.io/service/879/97b6a8bb1a55f75cbedefe699c1d59b4.png,https://stackshare.io/keycdn
Application and Data,Utilities,Assets and Media,Akamai,"The leading platform for cloud, mobile, media and security across any device, anywhere.",https://img.stackshare.io/service/12/k7PvYZYh.png,https://stackshare.io/akamai
Application and Data,Data Stores,Databases,RocksDB,"Embeddable persistent key-value store for fast storage, developed and maintained by Facebook Database Engineering Team",https://img.stackshare.io/service/2432/81KLTHHZ.png,https://stackshare.io/rocksdb
Application and Data,Data Stores,Databases,Firebird,"Relational database offering many ANSI SQL standard features that runs on Linux, Windows, and a variety of Unix platform",https://img.stackshare.io/service/2488/ds-firebird-logo-200.png,https://stackshare.io/firebird
Application and Data,Data Stores,Database Tools,Altair GraphQL,Like Postman for GraphQL. Based on a similar structure as GraphiQL.,https://img.stackshare.io/service/7925/altair_logo_128.png,https://stackshare.io/altair-graphql
Application and Data,Data Stores,Database Tools,GraphQL Voyager,GraphQL Voyager – Represent Any GraphQL API as an Interactive Graph,https://img.stackshare.io/service/6634/favicon-96x96.png,https://stackshare.io/graphql-voyager
Application and Data,Utilities,Assets and Media,Incapsula,"Cloud-based service that makes websites safer, faster and more reliable. ",https://img.stackshare.io/service/16/pmMygGUP.jpg,https://stackshare.io/incapsula
Application and Data,Utilities,Assets and Media,EdgeCast,The world's fastest and most reliable content delivery network.,https://img.stackshare.io/service/11/Lt2d5cuR.jpeg,https://stackshare.io/edgecast
Application and Data,Utilities,Assets and Media,cdnjs,An open source community driven Javascript CDN,https://img.stackshare.io/service/2617/cdnjs.png,https://stackshare.io/cdnjs
Application and Data,Data Stores,Databases,RxDB,"A fast, reactive, client-side database",https://img.stackshare.io/service/6950/EkEkGLtZ.jpg,https://stackshare.io/rxdb
Application and Data,Data Stores,Databases,Lovefield,"A relational database for web apps, by Google",https://img.stackshare.io/service/3668/apple-icon-180x180.png,https://stackshare.io/lovefield
Application and Data,Data Stores,Database Tools,Redsmin,All-in-one fully featured GUI for Redis,https://img.stackshare.io/service/1441/sjx8MhOY.png,https://stackshare.io/redsmin
Application and Data,Data Stores,Database Tools,Mycli,A CLI for MySQL with auto-completion and syntax highlighting,https://img.stackshare.io/service/3395/no-img-open-source.png,https://stackshare.io/mycli
Application and Data,Utilities,Assets and Media,jsDelivr,A free Open Source CDN for webmasters and developers,https://img.stackshare.io/service/2554/6191378.png,https://stackshare.io/jsdelivr
Application and Data,Utilities,Assets and Media,Google Cloud CDN,"Low-latency, low-cost content delivery using Google's global network",https://img.stackshare.io/service/4946/google-cloud-cdn.png,https://stackshare.io/google-cloud-cdn
Application and Data,Data Stores,Databases,MarkLogic,"Schema-agnostic Enterprise NoSQL database technology, coupled w/ powerful search & flexible application services",https://img.stackshare.io/service/2122/de62f189973ff066c9705b5c035f6b86.png,https://stackshare.io/marklogic
Application and Data,Data Stores,Databases,TimescaleDB,Highly scalable time-series database optimized for fast ingest and complex queries. Packaged as a PostgreSQL extension. ,https://ucarecdn.com/0600a606-03ed-4f40-afac-a6cb0736b482/,https://stackshare.io/timescaledb
Application and Data,Data Stores,Database Tools,OmniDB,An Open Source Web Tool for Database Management and Conversion,https://img.stackshare.io/service/5029/18400576.png,https://stackshare.io/omnidb
Application and Data,Data Stores,Database Tools,TablePlus,Easily edit database data and structure,https://img.stackshare.io/service/7554/qV60_Vic_400x400.jpg,https://stackshare.io/tableplus
Application and Data,Utilities,Assets and Media,CacheFly,"A leading content delivery network provider based in Chicago, IL",https://img.stackshare.io/service/858/twitter2.jpg,https://stackshare.io/cachefly
Application and Data,Utilities,Assets and Media,CDNify,"Content Delivery Network for tech startups, digital agencies & developers",https://img.stackshare.io/service/842/a90c709c86608ef5b8e643a3560f5f74.png,https://stackshare.io/cdnify
Application and Data,Utilities,Assets and Media,Peer5,Serverless CDN,https://img.stackshare.io/service/6714/27b93e93215aee0c32a3c0456739a473.png,https://stackshare.io/peer5
Application and Data,Data Stores,Databases,TiDB,A distributed NewSQL database compatible with MySQL protocol,https://img.stackshare.io/service/6377/thumb_logo_with_text.png,https://stackshare.io/tidb
Application and Data,Data Stores,Databases,MapD,Open source GPU-Powered Database,https://img.stackshare.io/service/6915/preview.png,https://stackshare.io/mapd
Application and Data,Data Stores,Database Tools,dat,Real-time replication and versioning for data sets,https://img.stackshare.io/service/2504/1ca014a423414068bf3462747c3ef894.png,https://stackshare.io/dat
Application and Data,Data Stores,Database Tools,mysql_utils,Pinterest's MySQL management tools,https://img.stackshare.io/service/3893/pinterest.png,https://stackshare.io/mysql_utils
Application and Data,Utilities,Assets and Media,CDN77.com,"Fast, transparent and flexible content delivery provider",https://img.stackshare.io/service/4491/e-kULjD1.png,https://stackshare.io/cdn77-com
Application and Data,Utilities,Assets and Media,MetaCDN,Multi-CDN that combines existing CDN networks and directs individual users to the fastest CDN provider in their region,https://img.stackshare.io/service/969/QCehjiaO.png,https://stackshare.io/metacdn
Application and Data,Data Stores,Databases,Citus,Worry-free Postgres for SaaS. Built to scale out. ,https://img.stackshare.io/service/2818/preview.jpeg,https://stackshare.io/citus
Application and Data,Data Stores,Databases,CrateIO,The Distributed Database for Docker,https://img.stackshare.io/service/2469/Lqjn2pxo.png,https://stackshare.io/crateio
Application and Data,Data Stores,Database Tools,Administrate,"Rails framework for creating flexible admin dashboards, by thoughtbot",https://img.stackshare.io/service/2181/no-img-open-source.png,https://stackshare.io/administrate-rails
Application and Data,Data Stores,Database Tools,Humongous.io,mongoDB User Interface,https://img.stackshare.io/service/1538/YGuNnjE-.png,https://stackshare.io/humongous-io
Application and Data,Utilities,Assets and Media,Level 3 CDN,"Level 3’s CDN helps you succeed by leveraging our network scalability, global footprint and proven customer service.",https://img.stackshare.io/service/3094/2x2piaOi.jpeg,https://stackshare.io/level3-cdn
Application and Data,Data Stores,Databases,TokuMX,"A high-performance, concurrent, compressing, drop-in replacement engine for MongoDB",https://img.stackshare.io/service/1188/ecHZfNOf.png,https://stackshare.io/tokutek
Application and Data,Data Stores,Databases,Noms,A new decentralized database based on ideas from Git,https://img.stackshare.io/service/5541/GoY-XdnG.jpg,https://stackshare.io/noms
Application and Data,Data Stores,Database Tools,pganalyze,PostgreSQL performance monitoring installed within minutes,https://img.stackshare.io/service/6520/qzAHcQfr.png,https://stackshare.io/pganalyze
Application and Data,Data Stores,Database Tools,pgcli,Postgres CLI with autocompletion and syntax highlighting,https://img.stackshare.io/service/3394/no-img-open-source.png,https://stackshare.io/pgcli
Application and Data,Data Stores,Databases,Heroic,"A scalable time series database based on Cassandra and Elasticsearch, by Spotify",https://img.stackshare.io/service/3974/46qwP9AX.png,https://stackshare.io/heroic
Application and Data,Data Stores,Databases,KairosDB,Fast Time Series Database on Cassandra,https://img.stackshare.io/service/4740/7736311.png,https://stackshare.io/kairosdb
Application and Data,Libraries,Datagrids,Handsontable,Excel-like data grid in pure JavaScript,https://img.stackshare.io/service/2216/TVAcBcwK.png,https://stackshare.io/handsontable
Application and Data,Data Stores,Database Tools,BedquiltDB,A Mongo-like JSON doc store built on Postgres ,https://img.stackshare.io/service/4950/KcWnW6kI.png,https://stackshare.io/bedquiltdb
Application and Data,Data Stores,Database Tools,MySQL Performance A...,MySQL Performance Analyzer by Yahoo,https://img.stackshare.io/service/3090/no-img-open-source.png,https://stackshare.io/mysql-performance-analyzer
Application and Data,Data Stores,Databases,MonetDB,Column-store database,https://img.stackshare.io/service/5271/YqZqCcW_.png,https://stackshare.io/monetdb
